Way, 533757101, Vinarija Stobi, https://www.stobiwinery.mk/
Node, 5901737585, Tikves
Way, 180725215, Винарија Грков
Node, 5167052721, Chateau Sopot, +38978663300
Node, 9870303417, monastery winery, +38978474656, https://monasterywinery.com
Way, 370311640, Domaine Lepovo
Way, 1221269982, Zaharchev Winery and Distillery, +38970253103, https://www.zaharchev.mk/
Node, 5901752486, Kamnik
Way, 180716821, Попова Кула
Node, 5667327121, Бовин винарија, +38943365322, http://www.bovin.com.mk
Node, 5901753385, Сковин
Way, 476221803, Камник
